original_name,clean_name,weight,unit,packaging_type
BÁNH CHOCOPIE 36.3G*12P (Hộp),BÁNH CHOCOPIE *12P,36.3,g,Hộp
BÁNH CHOCOPIE 36.3G*6P (Hộp),BÁNH CHOCOPIE *6P,36.3,g,Hộp
BÁNH CHẢ LÁ CHANH KIM BẢO 300g (Gói),BÁNH CHẢ LÁ CHANH KIM BẢO,300.0,g,Gói
BÁNH GATO (Gói),BÁNH GATO,,,Gói
BÁNH GẠO POCA LÀNG GẠO VỊ PHÔ MAI 108g (Gói),BÁNH GẠO POCA LÀNG GẠO VỊ PHÔ MAI,108.0,g,Gói
BÁNH NHÃN - GIÒN  (Gói),BÁNH NHÃN - GIÒN,,,Gói
BÁNH TRỨNG HỘP GIẤY TIPO 39g (Hộp),BÁNH TRỨNG HỘP GIẤY TIPO,39.0,g,Hộp
Bài rồng (Bộ),Bài rồng,,,Bộ
Bàn chải Lipzo Ruby sensi (Cái),Bàn chải Lipzo Ruby sensi,,,Cái
Bàn chải Lipzo áo dài (Cái),Bàn chải Lipzo áo dài,,,Cái
Bàn chải cao cấp Max X (Cái),Bàn chải cao cấp Max X,,,Cái
Bàn chải cao cấp Ruby Pro (Cái),Bàn chải cao cấp Ruby Pro,,,Cái
Bàn chải cao cấp Áo dài Pro (Cái),Bàn chải cao cấp Áo dài Pro,,,Cái
Bàn chải giặt (Cái),Bàn chải giặt,,,Cái
Bánh Bống Bang Choco 5P (Gói),Bánh Bống Bang Choco 5P,,,Gói
Bánh Bống Bang Choco 8P (Hộp),Bánh Bống Bang Choco 8P,,,Hộp
Bánh CChip BƠ 35g (Gói),Bánh CChip BƠ,35.0,g,Gói
Bánh CChip CAY 35g (Gói),Bánh CChip CAY,35.0,g,Gói
Bánh Chocopie 2p (Hộp),Bánh Chocopie 2p,,,Hộp
Bánh GaBT MBCraft 35g (Gói),Bánh GaBT MBCraft,35.0,g,Gói
Bánh Goute 15P (Hộp),Bánh Goute 15P,,,Hộp
Bánh Gạo An BBQ 14P (Gói),Bánh Gạo An BBQ 14P,,,Gói
Bánh Gạo An Vừng 12P (Gói),Bánh Gạo An Vừng 12P,,,Gói
Bánh Gạo An-Chà Bông 14P (Gói),Bánh Gạo An-Chà Bông 14P,,,Gói
Bánh Gạo An-Tảo 22P (Gói),Bánh Gạo An-Tảo 22P,,,Gói
Bánh Gạo An-Tự Nhiên 21P (Gói),Bánh Gạo An-Tự Nhiên 21P,,,Gói
Bánh Hura Deli Hương cốm dừa Bibica (Hộp),Bánh Hura Deli Hương cốm dừa Bibica,,,Hộp
Bánh MBoyTôm 35g (Hộp),Bánh MBoyTôm,35.0,g,Hộp
Bánh MBoyTảo 35g (Hộp),Bánh MBoyTảo,35.0,g,Hộp
Bánh Mandu thịt bằm KK 350g (Gói),Bánh Mandu thịt bằm KK,350.0,g,Gói
Bánh OStar Tảo 55g (Gói),Bánh OStar Tảo,55.0,g,Gói
Bánh OStar Tự Nhiên_55g (Gói),Bánh OStar Tự Nhiên_,55.0,g,Gói
Bánh OSxSW2MIXPIZZA 30g (Gói),Bánh OSxSW2MIXPIZZA,30.0,g,Gói
Bánh Snack V/UA Size (Gói),Bánh Snack V/UA Size,,,Gói
Bánh Swing Bò 33g (Gói),Bánh Swing Bò,33.0,g,Gói
Bánh Swing Bò 55g (Gói),Bánh Swing Bò,55.0,g,Gói
Bánh TAYOX TrMuối 28g (Gói),Bánh TAYOX TrMuối,28.0,g,Gói
Bánh TAYOX Tảo Ngọt 28g (Gói),Bánh TAYOX Tảo Ngọt,28.0,g,Gói
Bánh TNS_CAYMXC 32g (Gói),Bánh TNS_CAYMXC,32.0,g,Gói
Bánh TNS_PM 32 (Gói),Bánh TNS_PM 32,,,Gói
Bánh gạo An CốmFest 12P (Gói),Bánh gạo An CốmFest 12P,,,Gói
Bánh gạo An-Ngô 16P (Gói),Bánh gạo An-Ngô 16P,,,Gói
Bánh gạo sữa vị phô mai 240g (Gói),Bánh gạo sữa vị phô mai,240.0,g,Gói
Bánh quy chấm kem socola tổng hợp nhiều vị (Hộp),Bánh quy chấm kem socola tổng hợp nhiều vị,,,Hộp
Bánh trứng Custas Orion 2P (Hộp),Bánh trứng Custas Orion 2P,,,Hộp
BánhGạo An Ktay Pmai 14P (Gói),BánhGạo An Ktay Pmai 14P,,,Gói
BánhGạoAn-Tảo 14P (Gói),BánhGạoAn-Tảo 14P,,,Gói
BánhGạoAn-TựNhiên 14P (Gói),BánhGạoAn-TựNhiên 14P,,,Gói
Bánh OSxSW2MIXPIZZA 50g (Gói),Bánh OSxSW2MIXPIZZA,50.0,g,Gói
Bánh OSxSW2MIXPMCAY 30g (Gói),Bánh OSxSW2MIXPMCAY,30.0,g,Gói
Bánh OSxSW2MIXPMCAY 50g (Gói),Bánh OSxSW2MIXPMCAY,50.0,g,Gói
Bánh ĂnSáng CEST 8P (Gói),Bánh ĂnSáng CEST 8P,,,Gói
Bánh ĂnSángCEST 5P (Gói),Bánh ĂnSángCEST 5P,,,Gói
"Bình Xịt Muỗi,Gián Jumbo (Chai)","Bình Xịt Muỗi,Gián Jumbo",,,Chai
Bông tai giấy hộp tròn Newborn 200que (Hộp),Bông tai giấy hộp tròn Newborn 200que,,,Hộp
Bông tai thân trúc muối biển New life gói 100 (Gói),Bông tai thân trúc muối biển New life gói 100,,,Gói
Bông tai thân trúc muối biển New life gói 200 (Gói),Bông tai thân trúc muối biển New life gói 200,,,Gói
Bông tẩy trang EVEDA túi 80 (Gói),Bông tẩy trang EVEDA túi 80,,,Gói
Bông tẩy trang tròn CZ2 (Cái),Bông tẩy trang tròn CZ2,,,Cái
Bút chì khúc Comiko CC091 (Chiếc),Bút chì khúc Comiko CC091,,,Chiếc
Bút dạ nước 18 màu (Vỉ),Bút dạ nước 18 màu,,,Vỉ
Bút gel EG057-BK màu đen 0.5mm (Chiếc),Bút gel EG057-BK màu đen 0.5mm,,,Chiếc
Băng dính nhỏ (Cuộn),Băng dính nhỏ,,,Cuộn
Băng dính trong 3P (Cuộn),Băng dính trong 3P,,,Cuộn
Bật lửa 3K (Cái),Bật lửa 3K,,,Cái
Bật lửa hoa việt (Chiếc),Bật lửa hoa việt,,,Chiếc
Bật lửa khò (Chiếc),Bật lửa khò,,,Chiếc
Bật lửa thống nhất (Chiếc),Bật lửa thống nhất,,,Chiếc
Bắp nếp non sấy (Gói),Bắp nếp non sấy,,,Gói
BỘ QUÀ TẾT AN TÀI LỘC 1 6hộp (Hộp),BỘ QUÀ TẾT AN TÀI LỘC 1 6hộp,,,Hộp
BỘ QUÀ TẾT AN TÀI LỘC 3 4hộp (Hộp),BỘ QUÀ TẾT AN TÀI LỘC 3 4hộp,,,Hộp
Bột chiên gà giòn 100g (Gói),Bột chiên gà giòn,100.0,g,Gói
Bột chiên ngô khoai (Gói),Bột chiên ngô khoai,,,Gói
Bột giặt Ariel 620g (Gói),Bột giặt Ariel,620.0,g,Gói
Bột nghệ (Lọ),Bột nghệ,,,Lọ
Bột ớt (Lọ),Bột ớt,,,Lọ
CDM LUP VN (20X48X11G) (Cái),CDM LUP VN (20X48X),11.0,g,Cái
CDM Milk (12x24x34G) (Cái),CDM Milk (12x24x),34.0,g,Cái
CDM Roast Almond (12x24x32G) (Cái),CDM Roast Almond (12x24x),32.0,g,Cái
COMFORT NX CSCS HNH Thiên Nhiên Diệu Kỳ túi 3.1L (Túi),COMFORT NX CSCS HNH Thiên Nhiên Diệu Kỳ túi,3.1,l,Túi
COMFORT NX CSCS HNH Thiên Nhiên Quyến Rũ 3.1L  (Túi),COMFORT NX CSCS HNH Thiên Nhiên Quyến Rũ,3.1,l,Túi
COSY NUT CHOCO OAT 135g (Cái),COSY NUT CHOCO OAT,135.0,g,Cái
Cafe G7 3 in1 gói 50g (Hộp),Cafe G7 3 in1 gói,50.0,g,Hộp
Cheese Dessert (Hộp(BlueBerry)),Cheese Dessert (Hộp(BlueBerry)),,,
Cherry (Khay),Cherry,,,Khay
Cherry Úc (Kg),Cherry Úc,,,Kg
Chân giò hầm thuốc bắc (Hộp),Chân giò hầm thuốc bắc,,,Hộp
Chân gà Cung Đình (Gói),Chân gà Cung Đình,,,Gói
Chân gà Dachi Food vị thường (Gói),Chân gà Dachi Food vị thường,,,Gói
Chân gà bigger loại 2 chân (Gói),Chân gà bigger loại 2 chân,,,Gói
Chân gà đế vương (Cái),Chân gà đế vương,,,Cái
Chân gà ớt rừng (Cái),Chân gà ớt rừng,,,Cái
Chân gà ủ thượng hạng rút xương (Cái),Chân gà ủ thượng hạng rút xương,,,Cái
Chì màu nhựa 12 màu EC112-12 (Hộp),Chì màu nhựa 12 màu EC112-12,,,Hộp
CleanZ viên giặt xả hộp 16v (Hộp),CleanZ viên giặt xả hộp 16v,,,Hộp
Combo hộp 4 viên thả bồn cầu CleanZ (Hộp),Combo hộp 4 viên thả bồn cầu CleanZ,,,Hộp
Cosy Banh Que Choco 117.6g (Cái),Cosy Banh Que Choco,117.6,g,Cái
Cosy Bánh Quy Bơ TC Socola 390g (Hộp),Cosy Bánh Quy Bơ TC Socola,390.0,g,Hộp
Cosy Bánh Quy Bơ TC Vị Bơ Sữa 390g (Hộp),Cosy Bánh Quy Bơ TC Vị Bơ Sữa,390.0,g,Hộp
Cung Đình Kool BBQ hương vị sườn nướng kiểu Hàn Quốc 12 thố (Hộp),Cung Đình Kool BBQ hương vị sườn nướng kiểu Hàn Quốc 12 thố,,,Hộp
Cung Đình Kool Spaghetti 12 thố (Hộp),Cung Đình Kool Spaghetti 12 thố,,,Hộp
Cung Đình mì khoai tây hương vị Bò hầm 30 gói (Gói),Cung Đình mì khoai tây hương vị Bò hầm 30 gói,,,Gói
Cung Đình mì khoai tây hương vị Gà hầm 12 thố (Bát),Cung Đình mì khoai tây hương vị Gà hầm 12 thố,,,Bát
Cung Đình mì khoai tây hương vị Lẩu tôm chua cay 24 ly (Ly),Cung Đình mì khoai tây hương vị Lẩu tôm chua cay 24 ly,,,Ly
Cung Đình mì khoai tây hương vị Lẩu tôm chua cay 30 gói (Gói),Cung Đình mì khoai tây hương vị Lẩu tôm chua cay 30 gói,,,Gói
Cung Đình mì khoai tây hương vị Thịt hầm nấm 24 ly (Ly),Cung Đình mì khoai tây hương vị Thịt hầm nấm 24 ly,,,Ly
Cung Đình mì khoai tây hương vị Thịt hầm nấm 30 gói (Gói),Cung Đình mì khoai tây hương vị Thịt hầm nấm 30 gói,,,Gói
Cung Đình mì khoai tây hương vị sườn heo hầm măng 12 thố (Bát),Cung Đình mì khoai tây hương vị sườn heo hầm măng 12 thố,,,Bát
Cung Đình mì khoai tây hương vị sườn heo hầm măng 24 ly (Ly),Cung Đình mì khoai tây hương vị sườn heo hầm măng 24 ly,,,Ly
Cung Đình mì khoai tây hương vị sườn heo hầm măng 30 gói (Gói),Cung Đình mì khoai tây hương vị sườn heo hầm măng 30 gói,,,Gói
Cung Đình phở bò Hà Nội 30 gói (Gói),Cung Đình phở bò Hà Nội 30 gói,,,Gói
Cà phê G7 2in Hộp 15 gói (Hộp),Cà phê G7 2in Hộp 15 gói,,,Hộp
Cà phê G7 3in1 Hộp 21 gói (Hộp),Cà phê G7 3in1 Hộp 21 gói,,,Hộp
Cà phê Legend Cappuccino Hazelnut - H12st (Hộp),Cà phê Legend Cappuccino Hazelnut - H12st,,,Hộp
"Cá Thiều Que 0,25Kg(Gói)",Cá Thiều Que,0.25,kg,Gói
Cơm nắm (Cái),Cơm nắm,,,Cái
Cọ sắt (CÁI),Cọ sắt,,,CÁI
Cốc giấy 6oz (Dây),Cốc giấy 6oz,,,Dây
Cốc giấy 7Oz (Dây),Cốc giấy 7Oz,,,Dây
Cốc giấy trắng (Cái),Cốc giấy trắng,,,Cái
Cốc giấy vietcup (TÚI),Cốc giấy vietcup,,,TÚI
DIANA Cool Fresh hàng ngày 20m (Cái),DIANA Cool Fresh hàng ngày 20m,,,Cái
DIANA sensi hàng ngày kháng khuẩn 20m (Cái),DIANA sensi hàng ngày kháng khuẩn 20m,,,Cái
DOVE ST Serum Tái Tạo Độ Ẩm 500g (Chai),DOVE ST Serum Tái Tạo Độ Ẩm,500.0,g,Chai
Dao tem Croma Stabil (Hộp),Dao tem Croma Stabil,,,Hộp
Diana Sensi siêu mỏng cánh 20m (Cái),Diana Sensi siêu mỏng cánh 20m,,,Cái
Diana Siêu thấm Siêu mỏng cánh (Gói),Diana Siêu thấm Siêu mỏng cánh,,,Gói
Diana SuperNight 3 miếng 35cm (Cái),Diana SuperNight 3 miếng 35cm,,,Cái
Diana sensi Coolfesh siêu mỏng cánh 20m (Cái),Diana sensi Coolfesh siêu mỏng cánh 20m,,,Cái
Diana sensi Coolfresh đêm SMC 4m 29cm (Cái),Diana sensi Coolfresh đêm SMC 4m 29cm,,,Cái
Diana sensi hàng ngày kháng khuẩn 8m (Cái),Diana sensi hàng ngày kháng khuẩn 8m,,,Cái
Diana siêu thấm siêu mỏng cánh 20 (Cái),Diana siêu thấm siêu mỏng cánh 20,,,Cái
Durex - Bao Cao Su Fetherlite 3S (Gói),Durex - Bao Cao Su Fetherlite 3S,,,Gói
Durex - Bao Cao Su Pleasuremax 3S (Gói),Durex - Bao Cao Su Pleasuremax 3S,,,Gói
Durex - Bao Cao Su Sensual Strawberry 3S (Gói),Durex - Bao Cao Su Sensual Strawberry 3S,,,Gói
Dâu VIP (Hộp),Dâu VIP,,,Hộp
Dây dầu xả Dove serum phục hồi hư tổn 17255 (Gói),Dây dầu xả Dove serum phục hồi hư tổn 17255,,,Gói
Dầu gạo lứt Coba 1L (Chai),Dầu gạo lứt Coba,1.0,l,Chai
Dầu simply hướng dương 1L (Chai),Dầu simply hướng dương,1.0,l,Chai
Dầu ăn cao cấp Meizan Gold 1L (Chai),Dầu ăn cao cấp Meizan Gold,1.0,l,Chai
Dầu ăn thượng hạng Neptune Light 5L (Can),Dầu ăn thượng hạng Neptune Light,5.0,l,Can
Dầu đậu nành Coba 1L (Chai),Dầu đậu nành Coba,1.0,l,Chai
Dầu đậu nành Meizan 1L (Chai),Dầu đậu nành Meizan,1.0,l,Chai
Dầu đậu nành Simply 1L (Chai),Dầu đậu nành Simply,1.0,l,Chai
FANTA CREAM SC SF SAVING PACK 320ml (Cái),FANTA CREAM SC SF SAVING PACK,320.0,ml,Cái
FANTA GRAPE SC SF SAVING PACK 320ml (Cái),FANTA GRAPE SC SF SAVING PACK,320.0,ml,Cái
FUZE TEA LEMONGRASS 1L (Cái),FUZE TEA LEMONGRASS,1.0,l,Cái
FUZE TEA LEMONGRASS Chanh xả 450ML (Chai),FUZE TEA LEMONGRASS Chanh xả,450.0,ml,Chai
GEORGIA MAX COFFEE CARTON 180ml (Lon),GEORGIA MAX COFFEE CARTON,180.0,ml,Lon
Ghim dập e0010N (Hộp),Ghim dập e0010N,,,Hộp
Gia vị thuốc bắc gà tần (Gói),Gia vị thuốc bắc gà tần,,,Gói
Giấy bạc cuộn dài (CUỘN),Giấy bạc cuộn dài,,,CUỘN
Giấy phân trang 5 màu W7154 (Tệp),Giấy phân trang 5 màu W7154,,,Tệp
Giấy rút đa năng Hasu gói 1280 tờ (Gói),Giấy rút đa năng Hasu gói 1280 tờ,,,Gói
Giấy rút đa năng LUMINA 1280 tờ (Gói),Giấy rút đa năng LUMINA 1280 tờ,,,Gói
Giấy vệ sinh Hasu 12 cuộn (Dây),Giấy vệ sinh Hasu 12 cuộn,,,Dây
Giấy vệ sinh cuộn công nghiệp 1Kg (Cuộn),Giấy vệ sinh cuộn công nghiệp,1.0,kg,Cuộn
Gum HD white 15 vỉ (Vỉ),Gum HD white 15 vỉ,,,Vỉ
Gáo đại tay (Cái),Gáo đại tay,,,Cái
Găng cao su cầu vồng mini (ĐÔI),Găng cao su cầu vồng mini,,,ĐÔI
Găng cầu vồng dài (ĐÔI),Găng cầu vồng dài,,,ĐÔI
Găng cầu vồng trung (ĐÔI),Găng cầu vồng trung,,,ĐÔI
HASU NG LOVELY FOR BABAY 2.6L (Can),HASU NG LOVELY FOR BABAY,2.6,l,Can
HASU NLS Lyly 1L (Chai),HASU NLS Lyly,1.0,l,Chai
HASUKOOK dầu đậu nành NK Nga can 5L (Can),HASUKOOK dầu đậu nành NK Nga can,5.0,l,Can
HASUKOOK dầu đậu nành NK Nga chai 1L (Chai),HASUKOOK dầu đậu nành NK Nga chai,1.0,l,Chai
HS Nến đôi T01 hoa Thái không lá 2 cốc (Hộp),HS Nến đôi T01 hoa Thái không lá 2 cốc,,,Hộp
HS01 – Đại Lộc Khai Niên (Set),HS01 – Đại Lộc Khai Niên,,,Set
HS02 – Tân Niên Hồng Phát (Set),HS02 – Tân Niên Hồng Phát,,,Set
HS03 - Tấn Tài Tấn Lộc (Set),HS03 - Tấn Tài Tấn Lộc,,,Set
HS04 - Kim Tài Phát Vượng (Set),HS04 - Kim Tài Phát Vượng,,,Set
HS07- Mã Đáo Thành Công (Set),HS07- Mã Đáo Thành Công,,,Set
HS11-HỒNG TỬU KHAI XUÂN (Set),HS11-HỒNG TỬU KHAI XUÂN,,,Set
HS12-AN KHANG PHÚC KHỞI (Túi),HS12-AN KHANG PHÚC KHỞI,,,Túi
HS13-CÁT HỶ VIÊN MÃN (Túi),HS13-CÁT HỶ VIÊN MÃN,,,Túi
HS14-THANH NHÀN TỰ TẠI (Túi),HS14-THANH NHÀN TỰ TẠI,,,Túi
HS15-NGỌT LÀNH SUM VẦY (Set),HS15-NGỌT LÀNH SUM VẦY,,,Set
HS16-AN VỊ ĐỦ ĐẦY (Set),HS16-AN VỊ ĐỦ ĐẦY,,,Set
HS17-TỤ HỶ CÁT TƯỜNG (Set),HS17-TỤ HỶ CÁT TƯỜNG,,,Set
HS18-HỒNG LỘC KHAI XUÂN (Set),HS18-HỒNG LỘC KHAI XUÂN,,,Set
HS19-HỒNG TỬU KHAI XUÂN(ver2) (Set),HS19-HỒNG TỬU KHAI XUÂN(ver2),,,Set
HS20-NGŨ VỊ SUM VẦY (Set),HS20-NGŨ VỊ SUM VẦY,,,Set
HS21-NGŨ VỊ SUM VẦY(ver2) (Set),HS21-NGŨ VỊ SUM VẦY(ver2),,,Set
HS22-NGŨ VỊ TINH HOA (Set),HS22-NGŨ VỊ TINH HOA,,,Set
HS23-NGŨ VỊ TINH HOA(ver2) (Set),HS23-NGŨ VỊ TINH HOA(ver2),,,Set
HS24-HẢO VỊ AN NHIÊN (Set),HS24-HẢO VỊ AN NHIÊN,,,Set
HS25-TỬU TÂM HỘI VỊ (Set),HS25-TỬU TÂM HỘI VỊ,,,Set
Hasu Giấy ăn rút cao cấp gói 500 tờ (Gói),Hasu Giấy ăn rút cao cấp gói 500 tờ,,,Gói
Hasucare khăn ướt gói 60 tờ (Gói),Hasucare khăn ướt gói 60 tờ,,,Gói
Hành Tây túi lưới (Cái),Hành Tây túi lưới,,,Cái
Hạnh nhân rang bơ thủy tinh bé (Lọ),Hạnh nhân rang bơ thủy tinh bé,,,Lọ
Hạt dẻ cười thủy tinh bé (Lọ),Hạt dẻ cười thủy tinh bé,,,Lọ
Hạt nêm Knorr từ thịt 1.8 kg (Gói),Hạt nêm Knorr từ thịt,1.8,kg,Gói
Hạt nêm Knorr từ thịt gói 170g (Gói),Hạt nêm Knorr từ thịt gói,170.0,g,Gói
Hảo hảo hương vị mì tôm chua cay 75g (Gói),Hảo hảo hương vị mì tôm chua cay,75.0,g,Gói
Hộp Quà CPIE Tết Ori Đậm (Hộp),Hộp Quà CPIE Tết Ori Đậm,,,Hộp
Hộp Quà CSTS Tết Ori Cốm (Hộp),Hộp Quà CSTS Tết Ori Cốm,,,Hộp
Hộp xe hoa nhiều màu (Cái),Hộp xe hoa nhiều màu,,,Cái
Hộp xe địa hình 6688 (Cái),Hộp xe địa hình 6688,,,Cái
Kem CHOCO MALT (Que),Kem CHOCO MALT,,,Que
Kem CHOCO MELT  (Que),Kem CHOCO MELT,,,Que
Kem CHOCOLATE CRISPY (Que),Kem CHOCOLATE CRISPY,,,Que
Kem CHOCOLATE SUNDAE (Ly),Kem CHOCOLATE SUNDAE,,,Ly
Kem CRISPY BALLS (Que),Kem CRISPY BALLS,,,Que
Kem FRUTYROLL (Que),Kem FRUTYROLL,,,Que
Kem MIKI - MIKI 35ml (Que),Kem MIKI - MIKI,35.0,ml,Que
Kem MILK CEREAL CRISPY (Cái),Kem MILK CEREAL CRISPY,,,Cái
Kem MILK MELON (Que),Kem MILK MELON,,,Que
Kem MOCHI DURIAN (Cái),Kem MOCHI DURIAN,,,Cái
Kem MOCHI MANGO (Cái),Kem MOCHI MANGO,,,Cái
Kem MOCHI PEACH (Cái),Kem MOCHI PEACH,,,Cái
Kem MOONG BEAN KACANG IJO (Que),Kem MOONG BEAN KACANG IJO,,,Que
Kem SEMANGKA (Que),Kem SEMANGKA,,,Que
Kem STRAWBERRY (Que),Kem STRAWBERRY,,,Que
Kem STRAWBERRY CRISPY 90ml (Que),Kem STRAWBERRY CRISPY,90.0,ml,Que
Kem STRAWBERRY SUNDAE (Ly),Kem STRAWBERRY SUNDAE,,,Ly
Kem SWEET CORN (Que),Kem SWEET CORN,,,Que
Keo 502 (LỌ),Keo 502,,,LỌ
Khay bạc (Túi),Khay bạc,,,Túi
Khoai Tây 20k (Gói(Khoai Tây Classic)),Khoai Tây 20k (Gói(Khoai Tây Classic)),,,
Khoai Tây Bi to (Gói),Khoai Tây Bi to,,,Gói
Khoai lang kén (Gói),Khoai lang kén,,,Gói
Khô bò xé sợi fansipan  (Gói),Khô bò xé sợi fansipan,,,Gói
Khăn Giấy Rút Gấu Cao Cấp Hasu 300 Tờ (Gói),Khăn Giấy Rút Gấu Cao Cấp Hasu 300 Tờ,,,Gói
Khăn Tắm 50*100mm (Cái),Khăn Tắm 50*100mm,,,Cái
Khăn giấy rút cao cấp Hoa đào Hasu gói 300 tờ (Gói),Khăn giấy rút cao cấp Hoa đào Hasu gói 300 tờ,,,Gói
Khăn lau đa năng to sz 35*75mm (Cái),Khăn lau đa năng to sz 35*75mm,,,Cái
Khăn mặt 28*46mm (Cái),Khăn mặt 28*46mm,,,Cái
Khăn đa năng màu bé (CÁI),Khăn đa năng màu bé,,,CÁI
Khăn đa năng trắng (Cái),Khăn đa năng trắng,,,Cái
Khăn ướt Niva 100 tờ (Cái),Khăn ướt Niva 100 tờ,,,Cái
Khẩu trang 5D (Gói),Khẩu trang 5D,,,Gói
Khẩu trang 6A (Gói),Khẩu trang 6A,,,Gói
Khẩu trang niva trẻ em hộp (Hộp),Khẩu trang niva trẻ em hộp,,,Hộp
Kun Hương Cam 85ml (Chai),Kun Hương Cam,85.0,ml,Chai
Kéo văn phòng E6009 180mm (Chiếc),Kéo văn phòng E6009 180mm,,,Chiếc
KẸO DẺO KING CHUN 25g (Gói),KẸO DẺO KING CHUN,25.0,g,Gói
KẸO DỒI NĐP TRÒN 220g (Gói),KẸO DỒI NĐP TRÒN,220.0,g,Gói
KẸO HỌNG QUẤT MẬT ONG 84g (Gói),KẸO HỌNG QUẤT MẬT ONG,84.0,g,Gói
KẸO LẠC 10 THANH TO 220g (Gói),KẸO LẠC 10 THANH TO,220.0,g,Gói
Kẹo ALP Hương dâu kem  (Thỏi),Kẹo ALP Hương dâu kem,,,Thỏi
Kẹo ALP Hương sữa caramen  (Thỏi),Kẹo ALP Hương sữa caramen,,,Thỏi
Kẹo Golia Active plus (Thỏi),Kẹo Golia Active plus,,,Thỏi
Kẹo dẻo Boom DÂY Dâu 25g (Gói),Kẹo dẻo Boom DÂY Dâu,25.0,g,Gói
Kẹo dẻo Boom DÂY Nho 25g (Gói),Kẹo dẻo Boom DÂY Nho,25.0,g,Gói
Kẹo dẻo Boom DÂY Đào 25g (Gói),Kẹo dẻo Boom DÂY Đào,25.0,g,Gói
Kẹo dẻo BoomChanhDây 24g (Gói),Kẹo dẻo BoomChanhDây,24.0,g,Gói
Kẹo mè xửng túi Kim Thành (Gói),Kẹo mè xửng túi Kim Thành,,,Gói
Kẹo mút CC ChấmMút Dâu (Gói),Kẹo mút CC ChấmMút Dâu,,,Gói
Kẹo mềm sugus trái cây ly 48 thanh (Thanh),Kẹo mềm sugus trái cây ly 48 thanh,,,Thanh
Kẹo ngậm DM peppermint tuýp 35 viên (Lọ),Kẹo ngậm DM peppermint tuýp 35 viên,,,Lọ
Kẹo nhai MT Bạc hà 16thỏi (Thỏi),Kẹo nhai MT Bạc hà 16thỏi,,,Thỏi
Kẹo sing-gum CAME hũ 100 viên (Lọ),Kẹo sing-gum CAME hũ 100 viên,,,Lọ
